id	Sample_01	Sample_02	Sample_03	Sample_04	Sample_05	Sample_06	Sample_07	Sample_08	Sample_09	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
class	Control	Control	Control	Control	Control	Control	Control	Control	Control	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs	Lungs
ENSG00000120156										1.584962501			2					
ENSG00000120158		4.807354922		3.459431619	3.700439718	2	4.700439718	3.321928095	2.807354922	3	3.169925001		6.044394119	0	3	2	1	3.459431619
ENSG00000120159	6.375039431	6.14974712	6.357552005	5.392317423	7.303780748	7.839203788	7.022367813	7.383704292	6.599912842	4.247927513	5.247927513	6.942514505	5.906890596	5.129283017	5.672425342	4.95419631	5.044394119	7.055282436
ENSG00000120162			2.321928095			2							0					
ENSG00000120215			0	3.321928095									1				0	
ENSG00000120217													1.584962501					
ENSG00000120253	1.584962501			0		5		3.321928095	4.857980995	0	2.584962501		3.321928095	1	3.321928095	4	0	4.169925001
ENSG00000120254																		0
ENSG00000120265	9.654636029	10.18363538	9.859534786	8.784634846	9.960001932	10.68299458	10.59618976	10.44501485	10.70476824	9.396604781	10.21674586	10.11894107	9.724513853	8.379378367	9.763212367	9.005624549	8.087462841	9.471675214
ENSG00000120278					1				4.584962501									
ENSG00000120279	3.807354922	5.129283017	4.857980995	4.169925001	5.523561956	5.882643049	5.700439718	5.523561956	6.044394119	4.321928095	3.906890596		5.491853096	2.807354922	4.700439718	4.754887502	4	4.700439718
ENSG00000120280			2.584962501	3.169925001	0				3.700439718				1					0
ENSG00000120306				1	2.584962501		3.321928095	0	4	1	2.584962501	4.64385619	3.459431619		0	1	1	2
ENSG00000120314		3.459431619			3.169925001	1	1.584962501		5.087462841	0					2.807354922		2.584962501	1.584962501
ENSG00000120318		0																2
ENSG00000120333	0	3.459431619	3.807354922	3.321928095	3.321928095	5.392317423	0	3.169925001	5.523561956	3.459431619	2.807354922	2.321928095	4	2.807354922	3.459431619	2	1	2.807354922
ENSG00000120334					2.807354922				3.700439718								0	
ENSG00000120337		3.700439718			1.584962501						1.584962501		1					
ENSG00000120370	1.584962501					0	4.64385619		1.584962501	0					2.584962501		1	
ENSG00000120437	5.209453366		1.584962501		6.129283017	5.906890596	4.459431619		6.409390936	2.584962501	4.247927513		3.169925001		3	3	2.321928095	3.807354922
ENSG00000120438	7.523561956	6.523561956	7.741466986	7.741466986	8.693486957	8.829722735	8.426264755	8.577428828	8.388017285	5.64385619	7.22881869	6.930737338	7.139551352	3.700439718	6.459431619	7.022367813	5.209453366	5.857980995
ENSG00000120451		1			1	0		0		1.584962501	3.584962501		2	3.169925001	3.169925001	4.321928095	3.459431619	3.321928095
ENSG00000120458									1							2		
ENSG00000120509	2.584962501		5.044394119	4.584962501	5.807354922	4.459431619	6.459431619	6.442943496	6.569855608	3	4.459431619	6.409390936	3.169925001	3.906890596		3	2.584962501	4.392317423
ENSG00000120519		4.64385619			3.906890596	4.321928095	0		3.321928095	3.700439718	2.321928095		3.700439718	3.169925001	0	2	3.321928095	2.584962501
ENSG00000120526					5.584962501		5	3	5.087462841	1.584962501	2.321928095		3.169925001			4	2.321928095	1
ENSG00000120533	4.906890596	5.64385619	5.906890596	4.754887502	6.62935662	5.392317423	6.988684687	4.807354922	6.285402219	3.321928095	5.209453366	0	5.426264755	3.321928095	2.321928095	2.584962501	4.087462841	4.392317423
ENSG00000120539					5.129283017	4.523561956		5.857980995	4.700439718	3.459431619			1	2	1			1
ENSG00000120549												1	0					
ENSG00000120555														0		0		
ENSG00000120594	8.194756854	8.238404739	8.483815777	7.614709844	7.562242424	8.353146825	8.392317423	8.836050355	8.622051819	8.184875343	9.055282436	7.539158811	9.22881869	7.14974712	8.434628228	8.285402219	6.357552005	8.658211483
ENSG00000120616				0	1.584962501	2	3.584962501	5.426264755	5.832890014		1.584962501		3.584962501	3.321928095			3	4.247927513
ENSG00000120647		5.392317423	5.882643049		7.118941073	5.727920455	3.700439718				4.392317423		3.807354922	2.321928095	1.584962501	4.321928095	2.584962501	3.584962501
ENSG00000120656	5.491853096	6.988684687	5.209453366	4.169925001	7.199672345		6.523561956	5.523561956	7.044394119	3.700439718	4.321928095	0	4.807354922	4.321928095	4.169925001	3.584962501	2.321928095	2
ENSG00000120662		0						1	3.169925001	1	2.321928095		2.321928095			2.321928095	2	3.584962501
ENSG00000120675	9.116343961	7.930737338	8.129283017	8.103287808	8.909893084	8.942514505	8.426264755	7.912889336	8.353146825	8.686500527	9.049848549	7.845490051	8.430452552	8.06608919	8.285402219	7.238404739	7.665335917	8.77478706
ENSG00000120685	0	2.584962501		0		1			3.807354922	2	1		0	1.584962501	2.807354922		2.584962501	2
ENSG00000120686	2.584962501	2	1	2	4.857980995	4.584962501	2.321928095	2.321928095	4.807354922	3	3.459431619		4.459431619		3.807354922	2	2	3.584962501
ENSG00000120688	5.672425342		3.169925001	6.044394119	5.357552005	6.459431619	6.442943496	5.392317423	5.285402219	5.087462841	4.321928095	3.169925001	6.06608919	2.321928095	5.321928095	4.247927513	4.95419631	5.459431619
ENSG00000120690	10.509775	10.67860014	9.829722735	9.971543554	10.28308835	11.35093918	11.11569395	10.89330153	11.05120894	10.17242751	10.47167521	10.33539035	11.44708323	9.821773982	10.26678654	10.31967212	10.18858885	10.86341196
ENSG00000120694	5.087462841			2.584962501	6.247927513	6.375039431	6.50779464	6.375039431	7.209453366	3.169925001	4.247927513		4.906890596	1.584962501	3.906890596	2.321928095	3.459431619	5.285402219
ENSG00000120697	5.087462841			0	6.87036472	4.95419631	6.491853096	5.459431619	7.044394119	2.584962501	4.087462841		3.807354922				2.321928095	
ENSG00000120699		5.977279923	6.475733431	4.321928095	6.882643049	4.087462841	7.894817763	5.321928095	7.882643049	4.247927513	4.807354922	7.409390936	5.64385619		4.459431619	4.459431619	2.321928095	3.700439718
ENSG00000120705	4.392317423		5.169925001	4.857980995	5.392317423	5.169925001	5.614709844	5.95419631	6.906890596	2.807354922	3.700439718	7.129283017	5.554588852	4.321928095	2.321928095	3.906890596	3.584962501	3.584962501
ENSG00000120708			5.672425342		6.321928095	5.754887502		5.129283017	6.491853096	3.169925001	2.807354922		2.584962501		1			2
ENSG00000120709	3.906890596			0	1.584962501	1.584962501	0	0		0			1.584962501	0	2.321928095		2	2
ENSG00000120725		4.754887502	4.087462841		3.906890596	4.169925001			5.209453366	1.584962501	0		0				1	1
ENSG00000120727	11.07012094	10.90011206	10.62935662	10.38262403	11.38046107	11.11894107	11.04916787	11.0768156	11.32867493	10.25029842	10.38262403	10.86186234	10.87190524	9.047123912	10.78708632	10.63390341	9.59058705	10.59618976
ENSG00000120733			0		1	2.807354922	3.169925001	2.321928095	3	3.807354922	3.169925001		4.169925001	2	4.523561956	5.357552005	3.807354922	3.321928095
ENSG00000120738										0								
ENSG00000120742	6.50779464	6.108524457	6.977279923	5.209453366	6.977279923	7.303780748	7.794415866	7.459431619	8.169925001	5.95419631	6.06608919	5.392317423	5.554588852	5.754887502	6.614709844	5.882643049	5.321928095	6.426264755
ENSG00000120756			0										2.321928095		0			
ENSG00000120784									0								0	
ENSG00000120798	5.459431619					5.95419631				1	0		1.584962501	1.584962501		2	3.169925001	
ENSG00000120800					4.95419631	3.459431619	4.754887502		3	0	0	3.459431619	0	1.584962501	1		1.584962501	1
ENSG00000120802	1		3.321928095		3.906890596	0	2	4.247927513	4.906890596		0		2.807354922	1	1	0	1	3
ENSG00000120805	5.906890596			4.700439718	4.247927513	3.321928095	5.392317423	3.321928095	6.22881869	1.584962501	2		3.169925001		2.584962501		0	0
ENSG00000120832							0		1									
ENSG00000120833		1	2.321928095		3.459431619	3.906890596	2.807354922	2	1.584962501	2.807354922	3.584962501		3.321928095			1.584962501		2.807354922
ENSG00000120837		6.06608919		5.832890014	5.491853096	5	5.781359714	6.491853096	5.832890014	3.700439718	3.584962501		4.754887502	4.321928095	5.209453366	3.807354922	3.807354922	5.832890014
ENSG00000120860	9.355351096	10.30035256	9.696967526	9.055282436	10.38478375	9.839203788	9.17990909	9.531381461	10.11504365	7.761551232	8.294620749	6.754887502	8.539158811	7.098032083	8.375039431	8.400879436	7.108524457	8.603626345
ENSG00000120868	3.459431619			4.321928095	6.906890596	0	0	1.584962501	2.807354922	2	4.169925001		3.169925001	2	3.321928095	4.807354922	4.169925001	4
ENSG00000120885	15.98100975	15.6733919	15.66027451	15.16388549	15.63506622	16.27906642	16.02286625	15.83083702	16.22366237	14.12686577	15.31476024	15.43716687	14.67893019	14.06894618	15.12541347	14.83303831	14.40041251	14.98761931
ENSG00000120889					0				0									
ENSG00000120896							2.584962501		2.807354922									0
ENSG00000120899	3.700439718	3.169925001	3	4	6.700439718	5.700439718	6.569855608	5.523561956	6.977279923	3.807354922	6.209453366	4.857980995	4.807354922	3.700439718	4.754887502	5.044394119	4.392317423	5.584962501
ENSG00000120903	4.95419631	1.584962501	2	1.584962501	0	5.882643049	4.523561956	2.584962501	5	3.700439718	4.700439718		3.906890596	3.169925001	1	3.321928095	5.754887502	4.584962501
ENSG00000120910	5.672425342		3.807354922	5.247927513	3.169925001		0	3.906890596	2.807354922	4.584962501	2.807354922		2.584962501	2.321928095	3.807354922		1.584962501	5.169925001
ENSG00000120913	3.169925001		0		3	3.807354922	3.459431619	3.321928095	4.087462841		1	2	0					
ENSG00000120915	5.754887502	5.754887502	5.044394119	6.266786541		7.54689446	5.523561956	8.13442632	8.103287808	5.857980995	5.807354922	7.392317423	5.584962501	5.087462841	4	5.727920455	4.087462841	4.247927513
ENSG00000120925	0			2.807354922		5.614709844	4.321928095	2.807354922	6.339850003	0	2.321928095		3.169925001	1	2		2.584962501	4
ENSG00000120942			1.584962501		1	0	0		3.169925001		1				1		0	
ENSG00000120948			0	3.700439718	4.247927513	5.930737338	5.672425342	4.700439718	5.169925001	0	4.584962501		3	0	2.807354922		2	2
ENSG00000120949					4.700439718				0									
ENSG00000120963	6.781359714	6.87036472	7.392317423	5.832890014	8.8008999	7.754887502	7.754887502	6.741466986	7.882643049	5.285402219	6.584962501	6.894817763	6.303780748	1.584962501	5.95419631	5.882643049	5.044394119	5.882643049
ENSG00000120992	7.994353437	6.321928095	6.965784285	6.845490051	6.845490051	7.971543554	7.531381461	7.924812504	7.50779464	6.247927513	7.672425342	7.636624621	7.055282436	6.108524457	6.523561956	6.426264755	5.554588852	6.95419631
ENSG00000121005													2	2.807354922				
ENSG00000121022	6.22881869	5.285402219	6.321928095	5.906890596	6.882643049	6.22881869	7.562242424	7.357552005	7.918863237	3.807354922	5.554588852	6.044394119	5.882643049	4.64385619	5.285402219	5.727920455	4	5.087462841
ENSG00000121039		2.807354922						2.584962501	0						1	1		2.321928095
ENSG00000121057					3.700439718		4.321928095		2.584962501								0	
ENSG00000121058	0			1	3.906890596		4.807354922	0	3	0	2		2.807354922				0	
ENSG00000121060						2.584962501					0		1			0	1	
ENSG00000121064			0		4.754887502	6.339850003	6.491853096	6.22881869	7.475733431	3.906890596	5.087462841	7.169925001	3.700439718	0	5.321928095	4.584962501	3.584962501	2.321928095
ENSG00000121067	6.599912842	8.357552005	8.22881869	5.321928095	8.861086906	8.348728154	9.027905997	8.413627929	9.071462363	6.266786541	7.14974712	6.807354922	7.636624621	6.189824559	6.845490051	6.426264755	6.044394119	6.820178962
ENSG00000121073	7.276124405	6.95419631	7.330916878	6.108524457	4.169925001	7.022367813	6.62935662	6.754887502	6.584962501	4.95419631	6.129283017	6.820178962	5.700439718	5.584962501	3.807354922	4.321928095	4.087462841	4.95419631
ENSG00000121101			2		3.459431619		5.209453366	0		3.169925001	3.459431619		1.584962501	3	3		2.807354922	3
