Gene_ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000006607	1.094889396	-1.659109462	1.980486318	-0.837728313	0.402183308	NA
ENSG00000006625	9.257192054	-1.379367063	0.803120888	-1.717508639	0.085886277	0.280407089
ENSG00000006634	10.04208625	-1.028858401	1.008449606	-1.020237794	0.307615697	0.581708637
ENSG00000006638	11.04541832	1.162020484	0.504068273	2.30528392	0.021150678	0.117058728
ENSG00000006652	730.2976466	-0.112247388	0.192367714	-0.583504296	0.559553866	0.78173601
ENSG00000006695	1.604942898	0.160376698	1.345307676	0.11921191	0.905107471	0.963378018
ENSG00000006712	26.17174398	-0.168085955	0.535165597	-0.314082139	0.753458655	0.8934994
ENSG00000006715	246.9855711	0.933177282	0.235742544	3.958459374	7.54E-05	0.00180804
ENSG00000006744	8.402284982	-1.330579163	1.295274185	-1.02725676	0.304299577	0.578462898
ENSG00000006756	0.587271256	1.609257073	2.703532202	0.595242428	0.551681433	NA
ENSG00000006757	2.150136923	-0.922245629	1.718416202	-0.536683504	0.591486253	0.799226555
ENSG00000006831	24.7534656	0.6915924	0.539365072	1.282234309	0.199760464	0.462044882
ENSG00000007047	1.217675222	2.671354295	1.726935884	1.546875203	0.121893342	NA
ENSG00000007080	10.15062604	-1.319166759	0.733046475	-1.7995677	0.071928925	0.251742588
ENSG00000007129	2.465255631	0.27907901	1.931057693	0.144521322	0.885088821	0.955436049
ENSG00000007168	46.60646353	1.03492189	0.647590073	1.598112654	0.110017908	0.327343923
ENSG00000007202	5.767002546	2.940844753	1.124336445	2.61562699	0.00890638	0.063436948
ENSG00000007237	0.300130393	2.419587106	3.031127037	0.798246684	0.424727351	NA
ENSG00000007255	21.51939256	-1.096626081	0.545352318	-2.010858018	0.044340456	0.186848618
ENSG00000007264	3.621757833	-2.724530956	1.242910644	-2.192056983	0.028375392	0.140789186
ENSG00000007312	31.40468485	-2.872001995	1.171353899	-2.451865313	0.014211785	0.088615808
ENSG00000007341	37.73361458	0.933906453	0.810022771	1.152938517	0.248935621	0.519428081
ENSG00000007350	3.319837328	1.359496724	1.436217844	0.94658114	0.343852258	0.616903755
ENSG00000007392	8.962138877	-0.14520817	1.102220007	-0.131741548	0.895188722	0.958992814
ENSG00000007520	1.09217158	4.079461225	1.999012447	2.040738281	0.041276848	NA
ENSG00000007541	0.635498025	-0.770536462	2.993967562	-0.257362996	0.796898566	NA
ENSG00000007923	8.583433116	-0.825417819	1.251094563	-0.659756539	0.509410077	0.745598594
ENSG00000007944	1.865129253	2.37614266	1.299705169	1.828216673	0.06751704	0.242880725
ENSG00000008018	110.4892546	-0.890627389	0.413229074	-2.155287332	0.031139357	0.149826113
ENSG00000008083	98.18255201	0.899199584	0.281138077	3.198426882	0.001381796	0.016153637
ENSG00000008086	5.500001985	-0.640532147	1.166212161	-0.549241526	0.58283971	0.794492797
ENSG00000008130	15.69226421	0.338663016	0.772018926	0.438671909	0.660899284	0.842040151
ENSG00000008282	21.04945609	-1.453850119	0.666367696	-2.181753601	0.029127723	0.143188913
ENSG00000008283	1.280056834	-3.036863835	1.75078866	-1.734569057	0.082817164	0.273845555
ENSG00000008294	5.398843645	0.869982662	1.002826779	0.867530345	0.385651493	0.652962535
ENSG00000008311	0.886655767	2.203638004	2.993040678	0.736253944	0.461576169	NA
ENSG00000008324	7.362154119	-0.960068435	0.814173909	-1.179193321	0.238321205	0.507925222
ENSG00000008382	1.714157118	0.577091781	2.559932894	0.225432386	0.821642919	0.927948304
ENSG00000008394	3.445912349	-0.992852788	1.408209916	-0.705046014	0.480781601	0.726704197
ENSG00000008405	7.761124402	1.380046198	1.118740387	1.233571446	0.217362638	0.484302679
ENSG00000008438	1.154677446	0.861323078	1.686866062	0.510605493	0.609627329	NA
ENSG00000008441	1.706237162	0.999635916	1.708533609	0.585084139	0.558491143	0.780863896
ENSG00000008513	49.09696983	-0.247430287	0.374429388	-0.660819624	0.508727996	0.74508174
ENSG00000008517	71.18981921	-0.811579951	0.466537882	-1.739579961	0.0819328	0.272108201
ENSG00000008838	5.761754243	0.921505453	1.315066444	0.700729197	0.483472031	0.728101164
ENSG00000008853	0.38338798	-0.467438307	3.016959428	-0.154936889	0.876871072	NA
ENSG00000008869	8.029611822	3.450382455	1.109198818	3.110697918	0.001866458	0.020128784
ENSG00000008952	196.5305693	0.279900618	0.241036132	1.161239257	0.245544614	0.516156428
ENSG00000008988	609.0811628	-0.424678998	0.249142168	-1.704564913	0.0882756	0.285532644
ENSG00000009307	823.3735234	1.639070711	0.204938357	7.997871813	1.27E-15	6.04E-13
ENSG00000009335	7.26539156	1.642897823	0.875420148	1.876696382	0.060559719	0.228327529
ENSG00000009413	6.702586467	-0.020453991	1.075458058	-0.019018864	0.984826057	0.993129852
ENSG00000009780	0.464919183	0.648325936	3.035959171	0.213548964	0.830898802	NA
ENSG00000009790	121.6818356	-2.389235962	0.707937357	-3.374925676	0.000738356	0.010219395
ENSG00000009844	67.67549697	1.438925862	0.520134162	2.766451366	0.005667004	0.04600632
ENSG00000009954	4.522300412	3.277363838	0.930302493	3.522901275	0.00042685	0.006930581
ENSG00000010017	37.87166841	0.061831607	0.49233433	0.125588656	0.900057543	0.960689608
ENSG00000010030	0.586678088	3.203525446	3.009222718	1.064569075	0.28707098	NA
ENSG00000010072	2.458649816	-0.899152155	1.375290558	-0.653790684	0.513246669	0.747711019
ENSG00000010165	2.566820908	-1.40897001	1.412759247	-0.997317847	0.318610254	0.591639455
ENSG00000010219	4.533348507	-1.000849199	0.983362352	-1.017782709	0.308781231	0.582545125
ENSG00000010244	93.11069057	0.313138845	0.399911688	0.783019987	0.433615375	0.693968433
ENSG00000010256	118.6753315	-0.372073402	0.447369604	-0.831691287	0.40558322	0.670419862
ENSG00000010270	186.0641741	0.049116512	0.26958777	0.182191173	0.8554327	0.941932458
ENSG00000010278	3478.481455	-1.171728837	0.260007055	-4.506527093	6.59E-06	0.000256236
ENSG00000010292	10.92783349	1.729092071	0.696027493	2.484229558	0.012983208	0.082832091
ENSG00000010295	0.51078909	1.759586647	2.755538896	0.638563531	0.523106912	NA
ENSG00000010318	9.435271859	-0.600591231	0.800702879	-0.750080018	0.453206513	0.709002918
ENSG00000010322	4.82301638	-0.895487083	1.154245411	-0.775820354	0.437855064	0.696365469
ENSG00000010327	4.740637227	4.926631149	1.398202213	3.523546954	0.000425812	0.006926128
ENSG00000010361	0.795351252	3.642230645	2.997593821	1.215051425	0.224346478	NA
ENSG00000010404	82.37011331	-0.613007266	0.217507132	-2.818331796	0.00482739	0.040836742
ENSG00000010539	1.529027403	-3.297869118	2.411924015	-1.367318828	0.171525393	0.42423328
ENSG00000010610	9.378714389	-1.330801786	0.750833442	-1.772432754	0.076322749	0.26113448
ENSG00000010626	5.656642075	-1.214872273	1.07354953	-1.131640636	0.257785549	0.529120315
ENSG00000010671	441.3189881	-0.256324287	0.252508787	-1.015110366	0.310053221	0.583402322
ENSG00000010704	4.610611528	2.209340195	0.650948721	3.394031088	0.000688719	0.009795591
ENSG00000010803	2.469594454	1.666630663	1.120212864	1.487780328	0.136808835	0.372022173
ENSG00000010810	114.0292094	1.147493147	0.471968645	2.431291062	0.015045123	0.092350145
ENSG00000010818	2.24885911	2.413074186	1.304041373	1.850458303	0.064247522	0.235756401
ENSG00000010932	0.083716396	1.230353915	3.04143303	0.40453099	0.685822294	NA
ENSG00000011007	14.24296728	-0.246268921	0.684569334	-0.359742847	0.719039447	0.877964607
ENSG00000011009	49.36891089	-0.496840447	0.47055433	-1.055862024	0.291031256	0.564976041
ENSG00000011021	0.387958272	0.279319392	2.970833079	0.094020561	0.925092824	NA
ENSG00000011105	136.554322	-0.312504767	0.248145619	-1.259360406	0.207900184	0.473736334
ENSG00000011114	2.702504437	3.255690444	1.629425104	1.998060811	0.045710068	0.190143808
ENSG00000011132	4.701422936	-1.926643595	1.049493264	-1.835784622	0.066389517	0.239923822
ENSG00000011143	1.221091642	-1.568953843	2.972166074	-0.527882293	0.597581035	NA
ENSG00000011198	59.57517729	-0.99957331	0.431043958	-2.3189591	0.020397254	0.114214538
ENSG00000011243	3.370956367	-0.544415189	1.309426824	-0.415766028	0.67758122	0.853334147
ENSG00000011258	187.7420299	-0.358551645	0.239479094	-1.497214803	0.134337375	0.368614121
ENSG00000011260	40.265595	-2.034084442	0.772484625	-2.633171428	0.008459164	0.06131202
ENSG00000011275	52.56362352	0.109471146	0.580769754	0.188493195	0.85049005	0.939573204
ENSG00000011295	4.364184672	0.040406401	1.098868862	0.036770904	0.970667674	0.988047922
ENSG00000011304	19.81521353	0.561479906	0.434760352	1.291469894	0.196540788	0.457800677
ENSG00000011405	8.711669402	3.097595563	0.79161103	3.913027291	9.11E-05	0.002090595
